Aguai;28195;32168;32072
Sao Miguel Arcanjo;30798;31452;32039
Sao Sebastiao;58038;73833;31786
Descalvado;28921;31053;31756
Bariri;28224;31603;31595
Cachoeira Paulista;27205;30099;31564
Rio das Pedras;23494;29508;31328
Osvaldo Cruz;29648;30917;31272
Guararema;21904;25861;31236
Guararapes;28843;30600;31036
Serra Negra;23851;26362;29894
Piraju;27897;28489;29436
Iguape;27427;28844;29115
Santa Cruz das Palmeiras;25556;29974;28864
Rancharia;28772;28773;28588
Cajati;29227;28371;28515
Conchal;22676;25242;28105
Casa Branca;26800;28312;28083
Mirandopolis;25936;27475;27983
Morro Agudo;25428;29127;27933
Pilar do Sul;23948;26411;27611
Juquitiba;26459;28732;27404
Bady Bassitt;11550;14605;27260
alvares Machado;22661;23506;27245
Laranjal Paulista;22145;25246;26261
Igarapava;25925;27960;26212
Piracaia;23347;25139;26029
Ilha Solteira;23996;25071;25549
Pirapozinho;22104;24718;25348
Tanabi;22587;24055;25265
Brodowski;17139;21105;25201
Itai;21039;24015;25180
Martinopolis;22346;24260;24881
Santa Rita do Passa Quatro;26138;26420;24833
Apiai;27162;25196;24585
Cordeiropolis;17591;21085;24514
Dois Corregos;22522;24768;24510
Taquarituba;21982;22294;24350
Valparaiso;18574;22617;24241
Pereira Barreto;25028;24959;24095
Angatuba;19297;22211;24022
Itaporanga;14354;14546;23940
Brotas;18886;21580;23898
Cajuru;20777;23378;23830
Santa Gertrudes;15906;21644;23611
Santa Rosa de Viterbo;21435;23871;23411
Santo Antonio de Posse;18124;20635;23244
Planalto;3670;4472;23135
Capela do Alto;14247;17533;22866
Pirajui;20095;22724;22431
Monte Aprazivel;18413;21748;22280
Cunha;23090;21874;22110
Iracemapolis;15555;20047;21967
Guapiacu;14086;17885;21711
Aracariguama;11154;17085;21522
Bastos;20588;20461;21503
Cerqueira Cesar;15144;17532;21469
Tambau;22258;22410;21435
Alto Alegre;4261;4105;21066
Junqueiropolis;17005;18726;20448
Potim;13605;19413;20392
Buri;17629;18566;20250
Pompeia;18171;19963;20196
Regente Feijo;16998;18496;20145
Lucelia;18316;19885;20061
Turmalina;2366;1978;20000
Castilho;14948;18006;19977
Palmital;20701;21257;19594
Engenheiro Coelho;10033;15719;19566
Miguelopolis;19019;20442;19441
Nova Granada;17020;19178;19419
Paranapanema;15510;17810;19395
Pariquera-Acu;17649;18453;19233
Itatinga;15446;18052;19070
Cesario Lange;12883;15547;19048
Ribeirao Branco;21231;18272;18627
Guara;18916;19864;18606
Miracatu;22383;20595;18553
Potirendaba;13656;15453;18496
Colina;16664;17373;18487
Pirapora do Bom Jesus;12395;15727;18370
Nazare Paulista;14410;16413;18217
Monte Azul Paulista;19553;18931;18151
Itabera;18911;17861;17983
Santo Anastacio;20749;20498;17963
aguas de Lindoia;16190;17261;17829
Elias Fausto;13888;15796;17699
Paraibuna;17009;17384;17667
Rosana;24229;19691;17440
Viradouro;15962;17307;17414
Rio Claro;168218;186299;17401
Aluminio;15252;16845;17301
Buritama;13854;15418;17210
Juquia;20516;19269;17154
Caconde;18378;18536;17101
Pradopolis;12912;17404;17078
Guapiara;19726;17988;17071
Itajobi;14230;14553;16989
Macatuba;15752;16246;16829
Altinopolis;15481;15609;16818
Fartura;15010;15324;16641
Itirapina;12836;15528;16148
Jacupiranga;17041;17196;16116
Sao Lourenco da Serra;12199;13985;15984
Mirante do Paranapanema;16213;17064;15917
Tupi Paulista;13286;14262;15854
Charqueada;13037;15086;15535
Itariri;13613;15471;15528
Pedregulho;14994;15699;15525
Conchas;14904;16302;15232
Pinhalzinho;10986;13104;15219
Salesopolis;14357;15639;15202
Holambra;7211;11292;15119
Piratininga;10584;12072;15107
Guarei;10197;14568;15013
Panorama;13649;14603;14964
Taruma;10743;12883;14882
Pacaembu;12518;12934;14877
Severinia;13605;15504;14576
Pindorama;13109;15043;14542
Patrocinio Paulista;11416;13002;14488
Ipua;11870;14146;14454
Valentim Gentil;8605;11031;14098
Santa Adelia;13449;14333;14018
Santa Branca;13010;13770;13975
Morungaba;9911;11775;13788
Ipaussu;12553;13746;13712
Auriflama;13513;14205;13692
Itapui;10371;12181;13659
Sao Simao;13675;14350;13442
Ilha Comprida;6704;9027;13419
Quata;11655;12828;13163
Eldorado;14134;14645;13069
Boa Esperanca do Sul;12573;13658;12978
